user_id,scs_1,scs_2,scs_3,scs_4,scs_5,scs_6,scs_7,scs_8,scs_9,scs_10,scs_11,scs_12,scs_13,scs_14,scs_15,scs_16,scs_17,scs_18,scs_19,scs_20,scs_21,scs_22,scs_23,scs_24,scs_25,scs_26
cl_ma_2003_05_22_860_f,4,1,5,5,5,5,5,3,5,3,1,5,2,3,4,4,4,5,4,1,1,3,2,1,5,4
fr_va_2003_11_17_977_f,4,3,5,1,4,4,2,2,4,2,1,4,4,4,5,3,5,4,5,4,1,3,2,1,2,3
el_ma_2003_10_04_505_f,1,1,2,1,1,1,1,1,5,1,3,1,1,5,5,3,4,5,1,3,1,2,2,4,4,1
fr_ma_2002_07_14_125_f,1,2,3,1,5,2,2,2,4,1,1,4,2,2,4,1,2,2,4,4,4,3,5,1,2,3
le_ro_2003_09_22_235_f,3,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
al_za_2002_06_19_653_f,3,4,3,3,3,3,2,4,3,2,2,2,4,2,2,2,2,4,2,4,4,2,2,4,3,3
gr_ma_2003_02_19_619_f,5,4,3,4,3,4,4,4,3,4,4,2,4,3,4,4,3,4,2,3,4,3,2,1,3,2
vp_pi_2002_06_03_764_f,4,4,3,4,5,5,3,4,4,4,3,4,3,3,3,3,3,4,3,4,4,3,3,3,5,3
an_ma_2002_09_20_437_f,4,3,4,4,4,4,2,3,2,3,3,3,4,2,4,4,4,4,3,4,4,4,2,4,4,4
ma_ma_2003_10_13_417_f,3,3,3,2,4,3,1,3,4,3,3,2,4,4,3,3,3,2,3,4,3,3,3,3,3,3
ar_la_2004_02_18_282_f,5,4,4,4,2,4,1,5,3,3,5,2,4,4,4,5,4,4,2,5,5,5,1,2,5,4
re_pa_2003_05_13_487_f,3,1,2,1,5,2,3,1,5,3,2,5,2,4,2,1,5,1,5,1,1,5,5,1,1,4
so_mi_2003_03_19_419_f,4,5,4,2,4,3,4,4,5,4,2,2,2,5,2,5,5,4,3,1,5,2,2,1,3,4
ev_pa_2003_01_04_708_f,5,4,3,3,3,3,3,3,3,3,4,3,3,2,4,5,3,3,3,3,3,3,3,4,3,3
ge_to_2002_01_31_746_f,4,4,3,4,3,5,2,3,3,4,4,3,4,2,3,4,3,3,3,4,3,2,2,3,3,2
ar_tr_2002_08_13_504_f,5,4,3,5,4,5,1,4,2,2,4,4,5,3,4,4,3,4,4,5,3,4,1,4,3,2
gi_me_2003_09_16_884_m,4,1,3,3,1,4,1,4,4,1,3,1,2,5,3,3,3,3,2,3,5,3,2,1,3,3
mi_si_2003_10_15_839_m,4,3,4,3,3,4,4,4,4,4,4,3,1,4,4,4,4,1,3,3,3,4,2,4,2,3
au_vi_2004_01_17_529_f,2,2,4,1,4,1,4,2,4,4,4,4,3,4,3,3,4,2,4,2,2,4,4,2,1,4
ma_pa_2003_12_24_373_f,5,5,1,5,2,5,3,5,3,2,5,1,5,1,1,5,1,5,1,5,5,1,5,2,5,1
cl_pe_2000_02_17_166_f,4,3,5,5,3,5,5,3,5,1,3,3,4,5,1,4,1,5,3,5,3,3,2,1,5,3
la_sa_2002_08_31_342_m,5,5,3,5,4,5,3,5,2,3,5,3,4,3,2,5,2,5,3,5,5,3,1,4,5,2
bi_ro_2003_09_07_934_f,5,3,1,3,1,4,1,5,4,1,2,2,5,3,1,4,1,5,1,4,5,2,1,2,5,1
ma_ma_2003_09_19_720_f,5,2,3,3,1,2,2,5,5,3,5,1,5,4,4,4,4,3,4,4,4,4,2,4,4,2
be_ma_2003_07_08_043_f,1,2,5,1,5,2,4,1,3,4,1,5,2,4,5,1,4,2,5,4,1,5,5,1,1,5
ga_pi_2002_03_08_624_f,4,5,4,4,4,5,5,5,5,3,5,3,4,5,5,3,5,5,3,5,4,5,5,4,3,4
gi_ma_2003_03_20_938_f,5,5,2,4,2,4,3,4,1,1,4,2,3,2,1,4,3,4,2,4,4,1,1,4,4,2
ir_to_2003_10_31_441_f,4,3,3,4,4,5,4,3,4,3,4,2,4,3,3,4,2,4,3,5,4,3,2,4,4,3
as_sp_2002_07_24_676_f,5,5,4,5,3,5,4,5,4,4,5,3,5,4,2,5,2,5,2,5,3,4,1,4,5,2
ar_ro_2002_06_16_263_f,5,4,2,4,1,4,2,4,3,2,5,1,4,2,4,3,2,3,3,4,5,3,2,4,4,2
sa_ne_2003_06_12_362_f,3,2,3,1,4,3,4,2,3,2,2,4,3,3,2,1,4,2,4,3,2,3,2,2,3,2
an_so_2003_09_08_620_f,4,3,4,4,3,5,4,4,3,3,4,2,3,2,3,3,3,4,3,4,3,3,2,3,3,3
ma_qu_2003_09_15_711_m,4,5,2,4,4,2,1,2,3,4,5,3,4,4,3,5,3,4,2,3,3,1,2,4,4,2
gi_lo_2003_10_04_373_f,3,2,5,1,5,3,4,4,4,3,3,4,3,4,5,2,4,3,3,3,3,4,4,1,3,3
ja_tr_2002_10_06_487_m,3,3,1,1,3,2,1,3,3,1,2,2,2,3,2,4,3,3,2,3,3,3,3,2,3,3
ma_mo_2002_04_17_200_f,5,5,1,3,1,5,1,5,2,1,5,1,4,1,1,3,1,5,1,4,5,1,1,1,5,1
ed_ul_2003_04_16_576_m,2,3,4,2,2,4,3,2,3,4,3,3,2,3,4,2,3,4,2,3,4,2,3,4,2,3
fl_me_2004_02_17_358_f,3,4,5,1,5,4,3,2,1,2,4,5,3,4,4,4,2,2,5,2,1,5,3,3,4,4
fr_pa_2003_05_03_673_f,4,4,3,3,2,5,3,5,1,3,3,2,4,2,3,4,2,5,2,5,5,3,3,5,5,3
si_te_2003_06_04_835_f,2,2,4,3,3,4,5,3,4,5,2,3,2,4,4,2,4,2,3,3,3,4,4,2,2,4
ch_va_2003_04_08_010_f,5,5,3,4,3,5,3,3,2,1,5,3,5,1,1,3,2,4,3,5,1,2,5,5,3,2
el_pa_2003_08_08_486_f,1,2,1,1,5,1,5,1,5,5,1,5,2,5,5,1,5,2,5,2,2,5,5,3,1,5
au_vi_2004_01_17_529_f,2,2,4,1,4,1,4,2,4,4,4,4,3,4,3,3,4,2,4,2,2,4,4,2,1,4
ni_sa_2002_02_28_835_f,4,4,4,4,5,3,2,2,3,4,4,5,5,4,4,4,4,5,5,4,2,5,2,3,4,2
al_ma_2003_06_07_859_f,2,2,4,3,3,4,3,2,2,3,3,3,3,3,3,2,3,4,3,2,2,3,3,1,2,3
ir_ro_2003_08_06_734_f,4,5,5,5,2,5,1,4,3,1,4,1,5,2,1,5,2,5,1,4,5,1,1,5,5,1
gi_pa_2003_07_12_966_f,4,3,4,2,4,4,4,2,2,4,2,4,3,2,3,4,1,4,4,4,3,4,2,3,3,3
lo_ro_2002_12_11_085_m,1,1,5,3,4,4,2,2,5,2,3,4,3,5,4,1,4,3,4,3,1,3,3,1,4,4
sa_ne_2003_06_12_362_f,3,2,3,1,4,3,4,2,3,2,2,4,3,3,2,1,4,2,4,3,2,3,2,2,3,2
fr_ra_2001_05_26_203_f,5,5,2,4,2,5,1,4,2,1,3,1,5,1,3,5,1,5,2,5,5,2,3,3,5,3
ga_pa_2001_06_19_385_f,4,3,2,3,1,4,2,4,3,4,2,3,4,3,3,2,4,5,3,4,4,2,3,4,4,3
gi_lo_2003_06_26_196_f,2,2,2,5,4,2,1,1,4,2,1,5,3,4,5,5,3,4,5,2,1,5,4,5,4,3
mi_la_1983_12_30_637_m,2,4,3,4,5,2,4,2,4,2,2,4,3,4,4,2,5,4,4,4,2,4,5,2,4,4
ma_se_2003_07_16_188_f,5,5,1,5,1,5,1,5,1,1,5,1,5,1,1,5,1,5,1,5,5,1,1,5,5,1
la_sa_2003_09_28_299_f,5,5,2,2,3,5,2,5,2,1,5,1,2,2,2,5,3,3,2,5,5,1,1,5,5,1
an_to_2003_08_06_116_f,2,4,3,2,2,2,2,2,2,3,3,2,1,2,2,3,3,2,2,2,3,2,2,3,3,2
bi_ma_2003_03_10_962_f,5,4,4,4,4,3,2,1,3,2,5,2,5,2,2,5,3,5,3,4,2,1,1,3,4,2
gi_vo_2002_05_12_841_f,3,4,3,4,3,2,2,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,2,4,4,3
el_pr_2002_07_12_840_f,3,4,5,2,3,5,5,1,4,4,2,2,2,2,4,2,2,2,4,4,2,4,4,4,2,2
ga_lo_2003_03_23_920_f,3,4,3,3,4,3,2,3,4,3,4,4,3,3,2,3,3,2,4,2,2,3,2,2,2,2
al_va_2003_10_02_452_f,4,5,2,2,3,4,2,4,3,1,4,2,4,4,3,4,4,4,1,5,2,1,2,5,5,4
sa_pe_2003_01_04_879_f,5,5,4,4,3,5,4,5,2,1,4,3,4,1,1,5,1,5,4,5,4,3,5,1,5,2
ga_to_2003_10_05_427_m,5,2,5,1,4,1,2,2,3,3,1,5,1,5,2,5,3,1,4,2,1,5,5,1,1,5
th_le_2003_09_04_520_m,5,5,5,5,1,5,1,5,1,3,5,3,4,4,4,5,2,2,1,5,3,5,1,4,4,2
el_sa_2003_01_19_255_f,4,3,4,2,3,3,5,2,4,4,2,3,2,4,2,3,2,2,3,3,3,3,2,2,4,2
an_mi_2002_02_27_536_f,4,3,4,2,3,2,5,3,4,5,3,3,2,4,4,3,4,2,3,4,4,4,3,2,2,4
gi_sp_2003_10_20_716_m,1,5,3,3,4,2,2,2,3,2,4,3,3,3,5,4,4,4,4,3,3,4,3,4,3,4
an_mi_2003_08_21_800_f,3,3,2,4,5,4,2,1,4,4,2,5,5,4,3,2,3,4,5,4,3,3,4,2,4,4
sa_pe_2002_12_08_963_f,3,3,2,4,4,4,3,3,2,1,2,2,4,1,2,1,2,5,3,4,5,2,2,2,4,3
sa_ma_2002_02_20_773_f,4,4,4,2,5,3,1,5,1,1,1,4,1,1,5,4,1,3,4,5,2,1,2,4,3,2
ca_po_2001_09_17_258_f,5,4,3,5,2,4,2,5,3,1,4,2,5,3,3,4,3,5,2,4,5,4,2,2,4,2
gi_ta_2003_04_29_894_m,5,3,5,4,1,4,1,4,5,1,5,1,4,1,4,4,4,5,1,1,5,4,1,2,4,1
ma_se_2003_06_24_287_f,2,2,4,1,5,3,5,3,2,4,1,5,4,3,4,1,4,5,5,3,3,3,4,4,4,5
ma_pr_2003_07_27_907_m,5,5,3,5,2,4,2,3,1,1,4,1,4,1,1,4,3,3,1,5,5,1,1,5,4,2
ma_ma_2003_09_19_720_f,5,2,3,3,1,2,2,5,5,3,5,1,5,4,4,4,4,3,4,4,4,4,2,4,4,2
je_ro_1977_11_26_081_f,4,2,5,3,5,3,3,1,4,4,1,5,3,5,5,3,4,4,5,2,4,4,4,4,3,5
gi_mi_2002_11_14_530_m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ma_no_2003_08_08_723_f,5,4,3,3,4,4,3,5,5,3,2,2,4,5,5,4,4,3,3,4,3,5,5,1,3,3
ch_va_2003_07_15_511_f,1,2,5,1,3,3,3,2,4,4,3,4,4,4,5,1,4,5,4,1,3,4,5,2,4,3
sa_pe_2003_07_25_475_f,3,3,4,4,3,4,2,3,4,3,2,2,2,3,2,4,3,4,4,4,3,4,1,3,2,2
ma_mo_2003_07_08_156_f,3,1,5,2,4,3,5,3,3,4,2,5,3,3,4,4,3,4,4,3,3,3,4,2,2,4
so_la_2002_10_16_896_f,3,3,4,4,3,4,5,2,4,5,3,3,1,5,5,2,2,3,2,3,3,4,3,2,4,3
fr_te_2003_10_01_798_f,5,5,2,5,1,5,1,5,2,1,5,1,5,1,1,5,1,5,1,5,5,1,1,5,5,2
al_se_2003_07_28_277_f,5,5,5,5,5,5,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
lo_on_2003_10_24_183_m,5,1,5,1,5,1,5,3,3,5,3,4,1,5,4,1,5,1,5,2,2,5,5,3,1,4
